ID	purchase_date	payment_amount
1003459795	2010-01-01 00:00:00	1779.0
1003462096	2010-01-03 00:00:00	2374.0
1003464028	2010-01-04 00:00:00	1449.0
1003464770	2010-01-04 00:00:00	2204.0
1003464895	2010-01-04 00:00:00	450.0
1003464932	2010-01-04 00:00:00	1449.0
1003466632	2010-01-04 00:00:00	1304.0
1003467377	2010-01-04 00:00:00	1334.1
1003468224	2010-01-05 00:00:00	1779.0
1003465026	2010-01-05 00:00:00	1199.1
1003469524	2010-01-05 00:00:00	1449.0
1003469466	2010-01-05 00:00:00	1449.0
1003473818	2010-01-06 00:00:00	1035.0
1003477799	2010-01-07 00:00:00	299.0
1003479068	2010-01-07 00:00:00	1479.0
1003479294	2010-01-07 00:00:00	1449.0
1003479966	2010-01-07 00:00:00	1199.0
1003485936	2010-01-08 00:00:00	1304.0
1003491497	2010-01-11 00:00:00	1449.0
1003497297	2010-01-12 00:00:00	3549.0
1003501608	2010-01-13 00:00:00	1479.0
1003503884	2010-01-13 00:00:00	1304.1
1003504503	2010-01-14 00:00:00	1449.0
1003508609	2010-01-14 00:00:00	299.0
1003508916	2010-01-15 00:00:00	1304.1
1003509936	2010-01-15 00:00:00	125.0
1003511748	2010-01-15 00:00:00	1099.0
1003511806	2010-01-15 00:00:00	1304.1
1003513631	2010-01-16 00:00:00	199.0
1003513741	2010-01-16 00:00:00	299.0
1003515656	2010-01-17 00:00:00	1449.0
1003517386	2010-01-18 00:00:00	1349.0
1003517724	2010-01-18 00:00:00	1449.0
1003518013	2010-01-18 00:00:00	1479.0
1003518035	2010-01-18 00:00:00	1304.0
1003518473	2010-01-18 00:00:00	1479.0
1003521668	2010-01-19 00:00:00	299.0
1003521769	2010-01-19 00:00:00	1479.0
1003521883	2010-01-19 00:00:00	1449.0
1003525717	2010-01-20 00:00:00	499.0
1003529882	2010-01-21 00:00:00	1304.1
1003528653	2010-01-21 00:00:00	1479.0
1003531263	2010-01-21 00:00:00	299.0
1003531896	2010-01-21 00:00:00	1449.0
1003533026	2010-01-21 00:00:00	1449.0
1003537090	2010-01-22 00:00:00	1449.0
1003538471	2010-01-22 00:00:00	1479.0
1003538794	2010-01-22 00:00:00	299.0
1003542291	2010-01-24 00:00:00	1449.0
1003550953	2010-01-25 00:00:00	1394.0
1003562114	2010-01-27 00:00:00	299.0
1003564649	2010-01-27 00:00:00	1080.0
1003568460	2010-01-28 00:00:00	299.0
1003571013	2010-01-28 00:00:00	1014.0
1003572291	2010-01-28 00:00:00	1449.0
1003574647	2010-01-29 00:00:00	1339.0
1003576994	2010-01-29 00:00:00	299.0
1003580790	2010-01-30 00:00:00	1449.0
1003580794	2010-01-30 00:00:00	1304.0
1003580809	2010-01-30 00:00:00	1304.0
1003582540	2010-01-31 00:00:00	1449.0
1003582497	2010-01-31 00:00:00	1449.0
1003582909	2010-01-31 00:00:00	2449.0
1003584046	2010-01-31 00:00:00	1449.0
1003587802	2010-02-01 00:00:00	299.0
1003588003	2010-02-01 00:00:00	2204.0
1003590540	2010-02-01 00:00:00	599.0
1003591431	2010-02-02 00:00:00	1249.0
1003594375	2010-02-02 00:00:00	299.0
1003602087	2010-02-03 00:00:00	1159.0
1003605819	2010-02-04 00:00:00	900.0
1003607857	2010-02-04 00:00:00	1159.0
1003608766	2010-02-04 00:00:00	1449.0
1003608785	2010-02-04 00:00:00	499.0
1003612932	2010-02-05 00:00:00	499.0
1003620271	2010-02-07 00:00:00	1549.0
1003622122	2010-02-08 00:00:00	1449.0
1003647095	2010-02-11 00:00:00	1449.0
1003650172	2010-02-11 00:00:00	1449.0
1003663898	2010-02-15 00:00:00	1800.0
1003670316	2010-02-16 00:00:00	1449.0
1003673695	2010-02-16 00:00:00	1379.0
1003675401	2010-02-17 00:00:00	1159.0
1003684855	2010-02-18 00:00:00	1304.0
1003687881	2010-02-19 00:00:00	749.0
1003691942	2010-02-19 00:00:00	1449.0
